id,player1_id,player2_id,winner_player_id,played_at,created_at,comment,player1_race,player2_race,is_ranked,game_type,mission_name,result_type,player1_roster_id,player2_roster_id,league_id
837,195,251,195,2026-04-17 07:07:27.237665,2026-04-17 11:07:28.100375,"[[match_meta:{""player1_score"":26,""player2_score"":5}]]",Терран,Терран,t,2к,Hold Position,win,,,1
838,259,271,259,2026-04-17 09:04:16.450049,2026-04-17 13:04:18.145923,"[[match_meta:{""player1_score"":18,""player2_score"":16}]]",Зерг,Терран,t,2к,Divide and Conquer,win,,,1
839,195,258,195,2026-04-17 11:12:03.9208,2026-04-17 15:12:04.743541,"[[match_meta:{""player1_score"":7,""player2_score"":6}]]",Терран,Протосс,t,2к,Frontlines,win,,,1
840,192,198,192,2026-04-17 13:00:09.471092,2026-04-17 17:00:10.63762,"[[match_meta:{""player1_score"":25,""player2_score"":14}]]",Зерг,Протосс,t,2к,Hold Position,win,,,1
841,258,198,258,2026-04-18 00:09:38.867443,2026-04-18 04:09:40.077362,"[[match_meta:{""player1_score"":21,""player2_score"":14}]]",Терран,Протосс,t,2к,Frontlines,win,,,1
842,273,240,273,2026-04-18 07:02:53.267039,2026-04-18 11:02:55.33406,"[[match_meta:{""player1_score"":25,""player2_score"":19}]]",Зерг,Протосс,t,2к,Frontlines,win,,,1
843,273,240,273,2026-04-18 07:04:57.177496,2026-04-18 11:04:58.938214,"[[match_meta:{""player1_score"":23,""player2_score"":17}]]",Зерг,Протосс,t,2к,Hold Position,win,,,1
844,195,192,195,2026-04-18 15:13:30.967874,2026-04-18 19:13:31.969517,"[[match_meta:{""player1_score"":26,""player2_score"":20}]]",Терран,Зерг,t,2к,Hold Position,win,,,1
845,258,228,258,2026-04-18 19:57:39.754046,2026-04-18 23:57:41.150858,"[[match_meta:{""player1_score"":9,""player2_score"":7}]]",Терран,Протосс,t,1к,Hold Position,win,,,1
846,193,249,193,2026-04-19 16:05:40.373414,2026-04-19 20:05:41.609351,"[[match_meta:{""player1_score"":21,""player2_score"":16}]]",Протосс,Зерг,t,2к,Hold Position,win,,,1
847,198,247,198,2026-04-19 17:11:50.232817,2026-04-19 21:11:51.255023,"[[match_meta:{""player1_score"":18,""player2_score"":12}]]",Протосс,Зерг,f,2к,Frontlines,win,,,1
848,195,192,195,2026-04-20 06:45:39.259786,2026-04-20 10:45:40.184591,"[[match_meta:{""player1_score"":23,""player2_score"":19}]]",Терран,Зерг,t,2к,Gather the Resources,win,,,1
849,188,242,188,2026-04-20 17:47:00,2026-04-20 21:47:56.627083,"[[match_meta:{""player1_score"":25,""player2_score"":15}]] Bloody game",Терран,Протосс,f,Grand Offensive,Hold Position,win,,,1
850,196,219,196,2026-04-20 18:54:03.539131,2026-04-20 22:54:05.093174,"[[match_meta:{""player1_score"":21,""player2_score"":11}]]",Протосс,Терран,f,2к,Divide and Conquer,win,,,1
851,192,196,192,2026-04-21 13:39:26.115076,2026-04-21 17:39:27.297939,"[[match_meta:{""player1_score"":22,""player2_score"":15}]]",Зерг,Зерг,t,2к,Gather the Resources,win,,,1
852,249,259,249,2026-04-22 01:48:13.770498,2026-04-22 05:48:15.547514,"[[match_meta:{""player1_score"":16,""player2_score"":6,""player1_roster_id"":""7ICEOI""}]]",Зерг,Зерг,t,2к,Hold Position,win,7ICEOI,,1
853,273,236,273,2026-04-22 03:50:19.37327,2026-04-22 07:50:20.478509,"[[match_meta:{""player1_score"":9,""player2_score"":6}]]",Протосс,Зерг,f,1к,Supply Drop,win,,,1
854,210,236,210,2026-04-22 07:32:07.746565,2026-04-22 11:32:09.463501,"[[match_meta:{""player1_score"":15,""player2_score"":9}]] fun casual game =D",Зерг,Зерг,f,1к,Frontline,win,,,1
856,242,188,242,2026-04-22 07:35:51.947098,2026-04-22 11:35:52.742699,"[[match_meta:{""player1_score"":20,""player2_score"":16}]]",Протосс,Терран,t,2к,Divide and Conquer,win,,,1
857,195,196,195,2026-04-22 13:01:04.517994,2026-04-22 17:01:05.679431,"[[match_meta:{""player1_score"":23,""player2_score"":15}]]",Терран,Зерг,t,2к,Gather the Resources,win,,,1
